BATCH,FASSpecimen,length_cm,Decimal age
14,1,59,0.7361
14,2,81,1.6722
14,3,44,0.2667
14,4,108,2.6722
14,5,124,5.1917
14,6,54,0.2778
14,7,128,5.6722
14,8,114,4.2222
14,9,106,2.6722
14,10,104,2.6722
14,11,39,0.2722
14,12,52,0.2778
14,13,94,3.2083
14,14,118,4.1722
14,15,120,4.2083
14,16,54,0.2500
14,17,50,1.1333
14,18,49,1.1361
14,19,52,1.1444
14,20,61,1.2500
14,21,46,1.1389
14,22,63,1.1111
14,23,54,1.1111
14,24,37,1.1278
14,25,68,2.1361
14,26,55,1.2333
14,27,57,1.2500
14,28,58,1.2500
14,29,58,1.2500
14,30,48,0.3833
14,31,47,0.3972
14,32,51,0.3861
14,33,78,1.3972
14,34,45,0.3861
14,35,57,1.3861
14,36,78,1.3972
14,37,67,1.3917
14,38,44,0.3861
14,39,42,0.3833
14,40,46,0.3833
14,41,46,0.3917
14,42,42,0.3972
14,43,42,0.3833
14,44,50,0.3833
14,45,48,0.3972
14,46,52,0.3917
14,49,42,0.3917
14,50,45,0.3917
14,51,46,0.3861
14,52,53,0.3861
14,53,45,0.4000
14,54,46,0.3917
14,55,50,0.3917
14,56,75,1.4028
14,57,79,1.3972
14,58,46,0.3833
14,60,63,1.3944
14,61,79,1.3944
14,62,44,0.3972
14,63,77,1.3944
14,64,60,0.3944
14,65,50,0.4028
14,66,49,0.4028
14,67,78,1.3944
14,68,38,0.3889
14,69,52,0.3944
14,70,89,1.4028
14,71,44,0.4000
14,72,123,4.3722
14,73,64,1.3556
14,74,60,0.3611
14,75,85,1.3694
14,76,59,1.3611
14,77,120,3.7028
14,78,105,2.6861
14,79,125,4.3611
14,80,104,2.4167
14,81,35,0.8250
14,82,71,1.3778
14,83,92,1.7778
14,84,66,0.8250
14,85,133,5.4611
14,86,121,3.4750
14,87,108,2.4722
14,88,109,2.4694
14,89,85,2.3917
14,90,121,4.4639
14,91,62,1.9028
14,92,103,3.0806
14,93,38,0.9000
14,94,41,0.8250
14,95,145,7.3667
14,96,74,1.0639
14,97,70,0.9028
14,98,85,1.7361
14,99,90,1.7389
14,100,120,3.5833
14,101,125,4.5639
14,102,55,0.6917
14,103,84,1.6861
14,104,67,1.6889
14,105,135,4.5722
14,106,121,3.5833
14,107,81,1.6694
14,108,67,1.6861
14,109,133,13.5722
14,110,92,1.6861
